Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
Y,A,A,N,Q,N,100.0,N,,A,A,N
Y,BQ,BQ,N,Q,N,100.0,N,,BQ,BQ,N
Y,CLP,CLP,N,Q,N,100.0,N,,CLP,CLP,N
Y,EB,EB,N,Q,N,100.0,N,,EB,EB,N
Y,EM,EM,N,Q,N,100.0,N,,EM,EM,N
Y,F,F,N,Q,N,100.0,N,,F,F,N
Y,FDLK,FDLK,N,Q,N,100.0,N,,FDLK,FDLK,N
Y,FMC,FMC,N,Q,N,100.0,N,,FMC,FMC,N
Y,FMMH,FMMH,N,Q,N,100.0,N,,FMMH,FMMH,N
Y,FSF,FSF,N,Q,N,100.0,N,,FSF,FSF,N
Y,GSEK,GSEK,N,Q,N,100.0,N,,GSEK,GSEK,N
Y,ILIT,ILIT,N,Q,N,100.0,N,,ILIT,ILIT,N
Y,IXRE,IXRE,N,Q,N,100.0,N,,IXRE,IXRE,N
Y,J,J,N,Q,N,100.0,N,,J,J,N
Y,JD,JD,N,Q,N,100.0,N,,JD,JD,N
Y,LEQ,LEQ,N,Q,N,100.0,N,,LEQ,LEQ,N
Y,NKXT,NKXT,N,Q,N,100.0,N,,NKXT,NKXT,N
Y,NM,NM,N,Q,N,100.0,N,,NM,NM,N
Y,O,O,N,Q,N,100.0,N,,O,O,N
Y,PKR,PKR,N,Q,N,100.0,N,,PKR,PKR,N
Y,PLBY,PLBY,N,Q,N,100.0,N,,PLBY,PLBY,N
Y,QIU,QIU,N,Q,N,100.0,N,,QIU,QIU,N
Y,RI,RI,N,Q,N,100.0,N,,RI,RI,N
Y,ROL,ROL,N,Q,N,100.0,N,,ROL,ROL,N
Y,SIK,SIK,N,Q,N,100.0,N,,SIK,SIK,N
Y,STTX,STTX,N,Q,N,100.0,N,,STTX,STTX,N
Y,TCR,TCR,N,Q,N,100.0,N,,TCR,TCR,N
Y,VX,VX,N,Q,N,100.0,N,,VX,VX,N
Y,W,W,N,Q,N,100.0,N,,W,W,N
Y,ZHCJ,ZHCJ,N,Q,N,100.0,N,,ZHCJ,ZHCJ,N
